Year,Category,Name,Month,Time,Status,Latitude,Longitude,Maximum Wind
1882,3,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1882,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1882,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,1,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1883,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1883,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1883,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,TS,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1884,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1884,2,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1884,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1884,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1885,1,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1885,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1885,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,TS,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1886,2,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1886,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1886,4,1.0,1.0,1.0,1.0,1.0,1.0,1.0
1886,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,TS,3.0,3.0,3.0,3.0,3.0,3.0,3.0
1887,1,6.0,6.0,6.0,6.0,6.0,6.0,6.0
1887,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1887,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1887,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,TS,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1888,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1888,2,2.0,2.0,2.0,2.0,2.0,2.0,2.0
1888,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1888,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1889,TS,4.0,4.0,4.0,4.0,4.0,4.0,4.0
1889,1,2.0,2.0,2.0,2.0,2.0,2.0,2.0
