,ID,Name,Date,Time,Status,Latitude,Longitude,Maximum Wind
131,AL011852,            UNNAMED,1852-08-27,600, TS,32.3N,86.3W,40
132,AL011852,            UNNAMED,1852-08-27,1200, TS,32.8N,84.8W,40
133,AL011852,            UNNAMED,1852-08-27,1800, TS,33.2N,82.8W,40
134,AL011852,            UNNAMED,1852-08-28,0, TS,33.5N,80.5W,40
135,AL011852,            UNNAMED,1852-08-28,600, TS,33.8N,78.2W,40
136,AL011852,            UNNAMED,1852-08-28,1200, TS,34.0N,76.0W,40
137,AL011852,            UNNAMED,1852-08-28,1800, TS,34.4N,74.2W,40
138,AL011852,            UNNAMED,1852-08-29,0, TS,35.2N,72.8W,50
139,AL011852,            UNNAMED,1852-08-29,600, TS,36.4N,71.8W,50
140,AL011852,            UNNAMED,1852-08-29,1200, TS,38.0N,70.8W,50
141,AL011852,            UNNAMED,1852-08-29,1800, TS,39.6N,69.6W,50
142,AL011852,            UNNAMED,1852-08-30,0, TS,41.0N,68.0W,50
143,AL021852,            UNNAMED,1852-09-05,0, HU,17.0N,64.1W,70
144,AL021852,            UNNAMED,1852-09-05,600, HU,17.4N,65.1W,70
145,AL021852,            UNNAMED,1852-09-05,1200, HU,17.7N,66.1W,70
146,AL021852,            UNNAMED,1852-09-05,1800, TS,18.2N,67.1W,60
147,AL021852,            UNNAMED,1852-09-06,0, TS,18.6N,68.8W,60
148,AL021852,            UNNAMED,1852-09-06,600, TS,19.2N,70.1W,50
149,AL021852,            UNNAMED,1852-09-06,1200, TS,19.5N,71.4W,40
150,AL021852,            UNNAMED,1852-09-06,1800, TS,19.7N,72.5W,40
151,AL031852,            UNNAMED,1852-09-09,0, HU,26.4N,90.4W,70
152,AL031852,            UNNAMED,1852-09-09,600, HU,26.5N,89.6W,70
153,AL031852,            UNNAMED,1852-09-09,1200, HU,26.6N,88.8W,70
154,AL031852,            UNNAMED,1852-09-09,1800, HU,26.6N,88.1W,70
155,AL031852,            UNNAMED,1852-09-10,0, HU,26.8N,87.4W,70
156,AL031852,            UNNAMED,1852-09-10,600, HU,26.9N,86.6W,70
157,AL031852,            UNNAMED,1852-09-10,1200, HU,27.1N,86.1W,70
158,AL031852,            UNNAMED,1852-09-10,1800, HU,27.3N,85.6W,70
159,AL031852,            UNNAMED,1852-09-11,0, HU,27.5N,85.1W,70
160,AL031852,            UNNAMED,1852-09-11,600, HU,27.7N,84.6W,70
161,AL031852,            UNNAMED,1852-09-11,1200, HU,27.8N,84.0W,70
162,AL031852,            UNNAMED,1852-09-11,1800, HU,27.9N,83.4W,70
163,AL031852,            UNNAMED,1852-09-12,0, HU,28.0N,82.8W,70
164,AL031852,            UNNAMED,1852-09-12,600, TS,28.1N,82.2W,60
165,AL031852,            UNNAMED,1852-09-12,1200, TS,28.2N,81.5W,50
