ID,Name,Month,Year,Time,Status,Latitude,Longitude,Maximum Wind
AL092004,               IVAN,September,2004,2130, HU,9.8N,88.2W,145
AL092005,              IRENE,August,2005,1800, HU,37.6N,69.5W,90
AL092006,             HELENE,September,2006,1800, HU,40.6N,57.0W,105
AL092007,           HUMBERTO,September,2007,1200, HU,30.3N,94.4W,80
AL092008,                IKE,September,2008,1800, HU,30.3N,95.2W,125
AL092011,              IRENE,August,2011,1800, HU,38.1N,77.5W,105
AL092012,              ISAAC,August,2012,1800, HU,29.4N,90.5W,70
AL092013,           HUMBERTO,September,2013,1800, HU,23.2N,29.5W,80
AL101869,            UNNAMED,October,1869,2300, HU,44.0N,75.5W,90
AL101870,            UNNAMED,October,1870,1200, HU,21.0N,72.0W,90
AL101878,            UNNAMED,October,1878,1800, HU,34.5N,57.8W,100
AL101880,            UNNAMED,October,1880,1800, HU,31.8N,67.0W,80
AL101886,            UNNAMED,October,1886,2200, HU,31.1N,93.7W,105
AL101887,            UNNAMED,September,1887,1800, HU,48.0N,55.3W,70
AL101893,            UNNAMED,September,1893,1800, HU,31.3N,91.0W,115
AL101903,            UNNAMED,November,1903,1800, HU,42.2N,49.3W,70
AL101916,            UNNAMED,September,1916,1800, HU,38.6N,58.9W,75
AL101924,            UNNAMED,October,1924,1800, HU,25.9N,86.5W,145
AL101926,            UNNAMED,October,1926,1800, HU,37.4N,83.0W,130
AL101934,            UNNAMED,October,1934,1800, HU,31.0N,48.1W,85
AL101936,            UNNAMED,September,1936,1800, HU,46.1N,58.3W,95
AL101945,            UNNAMED,October,1945,1800, HU,16.8N,88.7W,80
AL101947,            UNNAMED,October,1947,1800, HU,39.0N,70.5W,105
AL101948,            UNNAMED,November,1948,1200, HU,31.4N,74.8W,65
AL101949,            UNNAMED,September,1949,1800, HU,17.8N,68.6W,70
AL101950,                JIG,October,1950,1800, HU,35.1N,60.3W,100
AL101952,                FOX,October,1952,1800, HU,24.8N,82.0W,125
AL101953,               GAIL,October,1953,1800, HU,14.9N,44.5W,70
AL101955,              JANET,September,1955,1800, HU,19.8N,96.4W,150
AL101958,             JANICE,October,1958,2300, HU,41.5N,77.1W,85
AL101961,              JENNY,November,1961,1800, HU,28.7N,52.5W,70
AL101964,              HILDA,September,1964,1800, HU,29.6N,91.7W,130
AL101972,              BETTY,August,1972,1800, HU,41.7N,46.6W,90
AL101974,             CARMEN,September,1974,1800, HU,30.0N,92.1W,130
AL101976,               EMMY,September,1976,1800, HU,39.6N,62.1W,90
AL101977,            DOROTHY,September,1977,1800, HU,42.0N,59.7W,75
AL101978,               ELLA,September,1978,1800, HU,49.0N,73.3W,120
AL101980,               EARL,September,1980,1800, HU,45.2N,44.3W,65
AL101981,             DENNIS,August,1981,1800, HU,37.1N,73.0W,70
AL101984,              DIANA,September,1984,1800, HU,34.0N,80.0W,115
AL101986,            FRANCES,November,1986,1800, HU,29.7N,61.0W,75
AL101989,          GABRIELLE,September,1989,2046, HU,39.1N,60.3W,125
AL101990,            ISIDORE,September,1990,1800, HU,40.5N,50.8W,85
AL101992,            FRANCES,October,1992,1800, HU,37.7N,61.1W,75
AL101995,               IRIS,September,1995,1800, HU,41.0N,62.5W,95
